p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.8147169355218395e-105,0.3150442705361116,0.472,0.198,5.172323840714932e-101,0,HNRNPA3
3.655575819401532e-105,0.8176316114874327,0.935,0.765,6.717486125732255e-101,0,CTGF
3.973745040798609e-105,0.9122499056826936,0.306,0.103,7.302153886971523e-101,0,APOD
4.4249418029098486e-105,0.3348295838321915,0.732,0.378,8.131273057027137e-101,0,TMED10
5.712668521867348e-105,0.37505890113604945,0.427,0.171,1.0497599675783439e-100,0,NUFIP2
6.698892535970094e-105,0.6802758798820469,0.375,0.143,1.2309884924098645e-100,0,SLC19A2
1.5575309324833684e-104,0.5833408358772019,0.356,0.132,2.862118841531438e-100,0,ZRANB2
1.8552106688924886e-104,0.6050074225159661,0.307,0.1,3.409135125156837e-100,0,SCD
2.462226208077205e-104,0.8222521200016522,0.322,0.112,4.524586879962672e-100,0,CHAC1
2.6086989937873302e-104,0.40632809813852466,0.861,0.481,4.793745270983597e-100,0,RPS23
3.9334814774260644e-104,0.519287189545436,0.391,0.152,7.228165562918136e-100,0,DNER
4.3485700089911004e-104,0.3508038979716057,0.491,0.216,7.990932248522046e-100,0,WAC
8.345741588085875e-104,0.4891246291722665,0.387,0.15,1.5336134742266603e-99,0,AZIN1
1.2881436947820147e-103,0.5273333531156414,0.517,0.237,2.36709285353143e-99,0,HBEGF
1.3967861810351464e-103,0.37775459447838666,0.561,0.265,2.566734286270185e-99,0,SLC1A5
3.8503686909255454e-103,0.5515950986535197,0.41,0.165,7.075437506444782e-99,0,FXYD6
4.326509744344737e-103,0.41683702731008143,0.956,0.676,7.950394306207888e-99,0,FMOD
5.054927908444089e-103,0.4321836799953741,0.405,0.163,9.288935524556858e-99,0,HNRNPH3
5.222510866606022e-103,0.6042012696771648,0.352,0.131,9.596885968475225e-99,0,HOXC10
9.91589329094618e-103,0.3771321997253374,0.444,0.187,1.82214455114427e-98,0,SF1
1.6427239548567305e-102,0.3839016848143957,0.652,0.321,3.018669539444728e-98,0,UAP1
1.8381704864881395e-102,0.7139545808394542,0.401,0.164,3.3778220859706053e-98,0,TGIF1
1.945809798012244e-102,0.3555708435857974,0.631,0.31,3.5756200848273e-98,0,SBDS
3.7112568149197775e-102,0.3288238439546358,0.833,0.46,6.819805523096584e-98,0,PABPC1
8.05912219094732e-102,0.6809092910782544,0.407,0.165,1.4809442938084797e-97,0,SNAI2
9.814500640486547e-102,0.5479169760899134,0.31,0.104,1.8035126376958078e-97,0,NR4A3
4.516927739151982e-101,0.7709216241638366,0.269,0.083,8.300306413465682e-97,0,CDR2
5.599808739871791e-101,0.6641070893656729,0.281,0.09,1.0290208540388403e-96,0,ZNF24
6.573762125892061e-101,0.27403326465402966,0.368,0.138,1.2079945282539252e-96,0,P4HA2
1.1791668130445604e-100,0.4601903421305753,0.888,0.536,2.166836935650684e-96,0,HERPUD1
1.855340068185832e-100,0.48059655672626145,0.448,0.191,3.409372909298285e-96,0,GLO1
